did,handle,canonical_url,a_rkey,a_created_at,a_text,b_rkey,b_created_at,b_text,gap_hours,text_jaccard,offline_core_jaccard,offline_core_sequence,offline_gap_hours,selected_target,target_flags,a_uri,b_uri,a_text_live,b_text_live,a_created_at_live,b_created_at_live,gap_hours_live,core_jaccard_live,core_sequence_live,a_reposts,b_reposts,winner_reposts,loser_reposts,repost_margin,winner_loser_ratio,repost_winner,decisive_outcome,a_likes,b_likes,a_quotes,b_quotes,reasons
did:plc:t57zckxuo4v6t53fjp7j7mcv,dworkin.bsky.social,tinyurl.com/3f3m728j,3mu2rr25pkk2m,2026-08-27T11:49:34Z,"A federal judge blocked Trump's mail ballot rule twice. Both blocks are gone. Within 48 hours.

Ballots start mailing in 9 days. Congress is what's left.

EMERGENCY LETTER: tinyurl.com/3f3m728j",3mu2swiolkc2m,2026-08-27T12:10:31Z,"🚨 9 DAYS 🚨

That's how long until the first mail ballots go out under a rule a federal judge said was written ILLEGALLY.

Nine days. Thirty seconds. Do it now.

👉 tinyurl.com/3f3m728j",0.35,0.2353,0.2353,0.3662,0.3492,tinyurl.com/3f3m728j,,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu2rr25pkk2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu2swiolkc2m,"A federal judge blocked Trump's mail ballot rule twice. Both blocks are gone. Within 48 hours.

Ballots start mailing in 9 days. Congress is what's left.

EMERGENCY LETTER: tinyurl.com/3f3m728j","🚨 9 DAYS 🚨

That's how long until the first mail ballots go out under a rule a federal judge said was written ILLEGALLY.

Nine days. Thirty seconds. Do it now.

👉 tinyurl.com/3f3m728j",2026-08-27T11:49:34.698000+00:00,2026-08-27T12:10:31.446000+00:00,0.3491,0.2353,0.3662,33,69,69,33,36,2.0909,B,1,100,163,1,4,
did:plc:k6syqg577dr3nyrsevahuqmj,indrapramitdas.bsky.social,chuffed.org/project/omshamm,3mu2hduoe3k2a,2026-08-27T08:43:15Z,"Lina is struggling to care for her family, including her severely injured husband Mahmoud who's at risk of amputation, her mother-in-law with bone cancer, & her sick daughters. Her husband Mahmoud is in great danger, & urgently needs unaffordable healthcare:",3mu2xc5gask2g,2026-08-27T13:28:37Z,Mahmoud is at the risk of losing his life if he doesn't get treatment soon. His wife Lina is struggling to care for him and their children and family as Israel's genocidal siege continues to starve them & keep healthcare scarce & unaffordable. Please share & give to help:,4.76,0.2258,0.2258,0.047,4.7561,chuffed.org/project/omshamm,,at://did:plc:k6syqg577dr3nyrsevahuqmj/app.bsky.feed.post/3mu2hduoe3k2a,at://did:plc:k6syqg577dr3nyrsevahuqmj/app.bsky.feed.post/3mu2xc5gask2g,"Lina is struggling to care for her family, including her severely injured husband Mahmoud who's at risk of amputation, her mother-in-law with bone cancer, & her sick daughters. Her husband Mahmoud is in great danger, & urgently needs unaffordable healthcare:",Mahmoud is at the risk of losing his life if he doesn't get treatment soon. His wife Lina is struggling to care for him and their children and family as Israel's genocidal siege continues to starve them & keep healthcare scarce & unaffordable. Please share & give to help:,2026-08-27T08:43:15.327000+00:00,2026-08-27T13:28:37.259000+00:00,4.7561,0.2258,0.047,1,68,68,1,67,68.0,B,1,4,48,0,15,
did:plc:6uimut56ihor2p6ubnepkudz,jenrubin.bsky.social,open.substack.com/pub/contrarian/p/facts-trump-doesnt-need-no-stinkin?r=230tr,3mu2tv2hlls2o,2026-08-27T12:27:36Z,"A regime that rails against “DEI,” decries “fake news,” and claims devotion to meritocracy has stocked its ranks with overwhelmingly white, incompetent sycophants who routinely fail to back up outlandish allegations with facts. Result: serial failure and humiliation
open.substack.com/pub/contrari...",3mu2u3g2zqc2l,2026-08-27T12:31:10Z,"Wild accusations from Donald Trump and his minions; no facts; no case.  True in court cases, voting allegations, etc... Serial liars
open.substack.com/pub/contrari...",0.06,0.1607,0.1607,0.371,0.0594,open.substack.com/pub/contrarian/p/facts-trump-doesnt-need-no-stinkin?r=230tr,,at://did:plc:6uimut56ihor2p6ubnepkudz/app.bsky.feed.post/3mu2tv2hlls2o,at://did:plc:6uimut56ihor2p6ubnepkudz/app.bsky.feed.post/3mu2u3g2zqc2l,"A regime that rails against “DEI,” decries “fake news,” and claims devotion to meritocracy has stocked its ranks with overwhelmingly white, incompetent sycophants who routinely fail to back up outlandish allegations with facts. Result: serial failure and humiliation
open.substack.com/pub/contrari...","Wild accusations from Donald Trump and his minions; no facts; no case.  True in court cases, voting allegations, etc... Serial liars
open.substack.com/pub/contrari...",2026-08-27T12:27:36.723000+00:00,2026-08-27T12:31:10.221000+00:00,0.0593,0.1607,0.371,65,25,65,25,40,2.6,A,1,232,124,1,1,
did:plc:vcepp6trx4vpe5ourxso4tjl,404media.co,404media.co/three-years,3mu376mf65223,2026-08-27T15:49:48Z,"From Flock to your privacy, at 404 Media, we are particularly focused on doing journalism that has real-world impact. That's all thanks to your continued support.

On Sept. 3rd and 4th, we want you to come party with us to celebrate our third anniversary. Join us: www.404media.co/three-years/",3mu3an6nrc226,2026-08-27T16:15:51Z,inside look at how the sausage gets made and join us at the party here: www.404media.co/three-years/,0.43,0.1887,0.1042,0.2154,0.4342,404media.co/three-years,,at://did:plc:vcepp6trx4vpe5ourxso4tjl/app.bsky.feed.post/3mu376mf65223,at://did:plc:vcepp6trx4vpe5ourxso4tjl/app.bsky.feed.post/3mu3an6nrc226,"From Flock to your privacy, at 404 Media, we are particularly focused on doing journalism that has real-world impact. That's all thanks to your continued support.

On Sept. 3rd and 4th, we want you to come party with us to celebrate our third anniversary. Join us: www.404media.co/three-years/",inside look at how the sausage gets made and join us at the party here: www.404media.co/three-years/,2026-08-27T15:49:48.664000+00:00,2026-08-27T16:15:51.327000+00:00,0.4341,0.1042,0.2154,58,5,58,5,53,11.6,A,1,241,36,4,2,
did:plc:ruoxyu6lf4rjzec7ucof6vrv,julesssnextdoor.bsky.social,chaturbate.com/julesssnextdoor,3mu23yggd5227,2026-08-27T05:20:00Z,"Wanna take me for a spin? 

Then cum play 😈

I'm live now 🤭

Chaturbate.com/julesssnextdoor",3mu2fjy6mw22v,2026-08-27T08:10:52Z,"Anyway, I'm sucking a dildo live rn if you wanna watch 🤭🤭

Chaturbate.com/julesssnextdoor",2.85,0.3478,0.3478,0.5783,2.8478,chaturbate.com/julesssnextdoor,,at://did:plc:ruoxyu6lf4rjzec7ucof6vrv/app.bsky.feed.post/3mu23yggd5227,at://did:plc:ruoxyu6lf4rjzec7ucof6vrv/app.bsky.feed.post/3mu2fjy6mw22v,"Wanna take me for a spin? 

Then cum play 😈

I'm live now 🤭

Chaturbate.com/julesssnextdoor","Anyway, I'm sucking a dildo live rn if you wanna watch 🤭🤭

Chaturbate.com/julesssnextdoor",2026-08-27T05:20:00.110000+00:00,2026-08-27T08:10:52.848000+00:00,2.848,0.3478,0.5783,57,0,57,0,57,inf,A,1,245,16,0,0,
did:plc:syfp4fi6s6oijh7be6qfjhfv,andrewchak.bsky.social,thehill.com/opinion/international/6051039-senate-passes-graham-sanctions,3mu35ir2cw22l,2026-08-27T15:19:41Z,"We know the Kremlin doesn’t answer to its people, yet assume it cares for them.
Moscow has spent 5 centuries proving otherwise.
Under tsars, commissars and kleptocrats, it sacrificed russian lives to hold colonial possessions from Kamchatka to Kaliningrad
My latest ⤵️
thehill.com/opinion/inte...",3mu36nisvak27,2026-08-27T15:40:14Z,"A Pew poll finds 2/3 of Americans lack confidence in Trump’s handling of russia’s war
83% view the aggressor unfavorably
But sanctions, even if they pass the House, accomplish little without a clear purpose, which must be to render 🇷🇺’s grievance-fueled predation impotent
thehill.com/opinion/inte...",0.34,0.0723,0.0723,0.0139,0.3425,thehill.com/opinion/international/6051039-senate-passes-graham-sanctions,,at://did:plc:syfp4fi6s6oijh7be6qfjhfv/app.bsky.feed.post/3mu35ir2cw22l,at://did:plc:syfp4fi6s6oijh7be6qfjhfv/app.bsky.feed.post/3mu36nisvak27,"We know the Kremlin doesn’t answer to its people, yet assume it cares for them.
Moscow has spent 5 centuries proving otherwise.
Under tsars, commissars and kleptocrats, it sacrificed russian lives to hold colonial possessions from Kamchatka to Kaliningrad
My latest ⤵️
thehill.com/opinion/inte...","A Pew poll finds 2/3 of Americans lack confidence in Trump’s handling of russia’s war
83% view the aggressor unfavorably
But sanctions, even if they pass the House, accomplish little without a clear purpose, which must be to render 🇷🇺’s grievance-fueled predation impotent
thehill.com/opinion/inte...",2026-08-27T15:19:41.616000+00:00,2026-08-27T15:40:14.499000+00:00,0.3425,0.0723,0.0139,37,2,37,2,35,18.5,A,1,101,11,4,0,
did:plc:t57zckxuo4v6t53fjp7j7mcv,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,3mu34m5jtmc2m,2026-08-27T15:03:41Z,"Abdul El-Sayed went on Fox News and told Jesse Watters to his face he hadn't asked a single question about Michigan. Monday night.

www.dworkinsubstack.com/p/trump-came...",3mu34p273ck2m,2026-08-27T15:05:18Z,"Mike Rogers' opponent went on Fox News and called him ""a beta."" On their own air. Monday night.

www.dworkinsubstack.com/p/trump-came...",0.03,0.3500,0.2353,0.5253,0.0269,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34m5jtmc2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34p273ck2m,"Abdul El-Sayed went on Fox News and told Jesse Watters to his face he hadn't asked a single question about Michigan. Monday night.

www.dworkinsubstack.com/p/trump-came...","Mike Rogers' opponent went on Fox News and called him ""a beta."" On their own air. Monday night.

www.dworkinsubstack.com/p/trump-came...",2026-08-27T15:03:41.629000+00:00,2026-08-27T15:05:18.794000+00:00,0.027,0.2353,0.5253,31,7,31,7,24,4.4286,A,1,128,47,3,0,
did:plc:t57zckxuo4v6t53fjp7j7mcv,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,3mu34jmvffc2m,2026-08-27T15:02:17Z,"A federal judge ruled the FCC's 100-day silence was itself an answer. The answer was no. Tuesday. In the opinion.

www.dworkinsubstack.com/p/trump-came...",3mu34m5jtmc2m,2026-08-27T15:03:41Z,"Abdul El-Sayed went on Fox News and told Jesse Watters to his face he hadn't asked a single question about Michigan. Monday night.

www.dworkinsubstack.com/p/trump-came...",0.02,0.1458,0.0238,0.1941,0.0233,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34jmvffc2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34m5jtmc2m,"A federal judge ruled the FCC's 100-day silence was itself an answer. The answer was no. Tuesday. In the opinion.

www.dworkinsubstack.com/p/trump-came...","Abdul El-Sayed went on Fox News and told Jesse Watters to his face he hadn't asked a single question about Michigan. Monday night.

www.dworkinsubstack.com/p/trump-came...",2026-08-27T15:02:17.073000+00:00,2026-08-27T15:03:41.629000+00:00,0.0235,0.0238,0.1941,13,31,31,13,18,2.3846,B,1,46,128,0,3,
did:plc:phwutxn6uq452kifa3ur7g5g,statuesque.bsky.social,kickstarter.com/projects/statuesque/cloth-trows,3mu2p2ubk7s2d,2026-08-27T11:01:22Z,"The Cloth Trows Kickstarter is live!

I hope you like them. I'm really happy with how they've turned out and really want to get them out into the world!

Please do take a wee look. All pledges, shares, likes and comments much appreciated.

kickstarter.com/projects/statuesque/cloth-trows",3mu2vhyqoq22d,2026-08-27T12:56:06Z,"Unsuccessfully trying to avoid looking at Kickstarter (it's passed the funding goal - thanks all!) by painting some cloth trows.

They're denim, I guess.

kickstarter.com/projects/statuesque/cloth-trows",1.91,0.1864,0.1864,0.3369,1.9122,kickstarter.com/projects/statuesque/cloth-trows,,at://did:plc:phwutxn6uq452kifa3ur7g5g/app.bsky.feed.post/3mu2p2ubk7s2d,at://did:plc:phwutxn6uq452kifa3ur7g5g/app.bsky.feed.post/3mu2vhyqoq22d,"The Cloth Trows Kickstarter is live!

I hope you like them. I'm really happy with how they've turned out and really want to get them out into the world!

Please do take a wee look. All pledges, shares, likes and comments much appreciated.

kickstarter.com/projects/statuesque/cloth-trows","Unsuccessfully trying to avoid looking at Kickstarter (it's passed the funding goal - thanks all!) by painting some cloth trows.

They're denim, I guess.

kickstarter.com/projects/statuesque/cloth-trows",2026-08-27T11:01:22.829000+00:00,2026-08-27T12:56:06.192000+00:00,1.912,0.1864,0.3369,30,9,30,9,21,3.3333,A,1,54,42,3,0,
did:plc:k5nskatzhyxersjilvtnz4lh,washingtonpost.com,wapo.st/4gTmIr7,3mu22ezegbj23,2026-08-27T04:51:14Z,"Yayoi Kusama, whose hypnotic, unconventional works propelled her from near-obscurity to a place in the world’s most prominent museums, has died at 97. https://wapo.st/4gTmIr7",3mu2puz4afx2d,2026-08-27T11:16:00Z,"Yayoi Kusama, the Japanese artist who disappeared from public view for decades and found global recognition late in life through her polka-dot paintings and mirrored, Instagram-friendly “infinity rooms,” died Aug. 14 in Tokyo. She was 97. https://wapo.st/4gTmIr7",6.41,0.1509,0.1509,0.133,6.4128,wapo.st/4gTmIr7,,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3mu22ezegbj23,at://did:plc:k5nskatzhyxersjilvtnz4lh/app.bsky.feed.post/3mu2puz4afx2d,"Yayoi Kusama, whose hypnotic, unconventional works propelled her from near-obscurity to a place in the world’s most prominent museums, has died at 97. https://wapo.st/4gTmIr7","Yayoi Kusama, the Japanese artist who disappeared from public view for decades and found global recognition late in life through her polka-dot paintings and mirrored, Instagram-friendly “infinity rooms,” died Aug. 14 in Tokyo. She was 97. https://wapo.st/4gTmIr7",2026-08-27T04:51:14.911498+00:00,2026-08-27T11:16:00.314147+00:00,6.4126,0.1509,0.133,12,30,30,12,18,2.5,B,1,37,117,3,4,
did:plc:t57zckxuo4v6t53fjp7j7mcv,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,3mu34rsxsms2m,2026-08-27T15:06:51Z,"A Senate candidate called Pete Hegseth the unofficial sixth host of ""The Five."" On Fox. To Fox's own audience.

www.dworkinsubstack.com/p/trump-came...",3mu34tu6qu22m,2026-08-27T15:08:00Z,A Navy sailor with two days ashore in nine months found out on a Saturday that Border Patrol had taken his father. His dad was dropping the car off at the mechanic.,0.02,0.0600,0.0682,0.2472,0.0192,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34rsxsms2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu34tu6qu22m,"A Senate candidate called Pete Hegseth the unofficial sixth host of ""The Five."" On Fox. To Fox's own audience.

www.dworkinsubstack.com/p/trump-came...",A Navy sailor with two days ashore in nine months found out on a Saturday that Border Patrol had taken his father. His dad was dropping the car off at the mechanic.,2026-08-27T15:06:51.878000+00:00,2026-08-27T15:08:00.265000+00:00,0.019,0.0682,0.2472,10,28,28,10,18,2.8,B,1,48,60,0,0,
did:plc:eur2p72373ai6zpc3rhzvpsv,winslowsp.bsky.social,helloasso.com/associations/winslow-sante-publique/evenements/509-ppm-prevention-politique-musique,3mu2mvjjccn25,2026-08-27T10:22:35Z,"⭐ Atelier Fabrication de purificateurs d'air !
il aura lieu le samedi 5 septembre au festival #509PPM
🔥 Retrouvez les préventes du festival à prix libre ici : www.helloasso.com/as...",3mu37hwpek724,2026-08-27T15:55:01Z,"⭐ Table ronde communiquée : ""vivre avec, qui en paie le prix?"" 
Elle aura lieu le le samedi 05 septembre 17h, au festival #509PPM
🔥 Retrouvez les préventes du festival à prix libre ici : www.helloasso.com/as...",5.54,0.5128,0.4412,0.7255,5.5406,helloasso.com/associations/winslow-sante-publique/evenements/509-ppm-prevention-politique-musique,,at://did:plc:eur2p72373ai6zpc3rhzvpsv/app.bsky.feed.post/3mu2mvjjccn25,at://did:plc:eur2p72373ai6zpc3rhzvpsv/app.bsky.feed.post/3mu37hwpek724,"⭐ Atelier Fabrication de purificateurs d'air !
il aura lieu le samedi 5 septembre au festival #509PPM
🔥 Retrouvez les préventes du festival à prix libre ici : www.helloasso.com/as...","⭐ Table ronde communiquée : ""vivre avec, qui en paie le prix?"" 
Elle aura lieu le le samedi 05 septembre 17h, au festival #509PPM
🔥 Retrouvez les préventes du festival à prix libre ici : www.helloasso.com/as...",2026-08-27T10:22:35+00:00,2026-08-27T15:55:01+00:00,5.5406,0.4412,0.7255,9,24,24,9,15,2.6667,B,1,7,20,0,1,
did:plc:hz2vuqu4jqvzzdtmasnojxnb,kakuri.bsky.social,shueisha.online/articles/-/258476,3mtzzaqkysc2u,2026-08-27T04:30:57Z,"〈「クラスメイトを盗撮したら500円」〉子どもを性加害者にする“大人の誘惑”…お小遣い稼ぎからハマる「デジタル性暴力」の引力 |
shueisha.online/articles/-/2...

斉藤　意図せぬ形で盗撮や児童ポルノ、性的ディープフェイクの消費者になってしまうわけですね。

永守　この構図は、Xだけでみられるわけではありません。たとえば、オンラインゲームの情報交換で頻繁に使われるトークアプリ「Discord」においても同様です。子どもが「ゲームの裏技を知りたい」と思って入ったDiscord内のコミュニティで、性的なコンテンツを扱うサイトへのリンクが貼られていたりするんです。",3mu2zrruwus2j,2026-08-27T14:13:09Z,"〈「クラスメイトを盗撮したら500円」〉子どもを性加害者にする“大人の誘惑”…お小遣い稼ぎからハマる「デジタル性暴力」の引力 | 2026.08.26
shueisha.online/articles/-/2...

""卒業アルバムや学校行事、SNSに投稿された何気ない写真から、AIで偽の性的画像を作る「性的ディープフェイク」が中高生、さらには小学生にまで広がっている。（中略）
ステルス性暴力”の実態と、消すことのできない「デジタルタトゥー」が子どもたちに残す深刻な傷とは。性加害者の治療に携わる斉藤章佳氏と、ネットパトロールボランティア団体「ひいらぎネット」代表の永守すみれ氏が語った""",9.70,0.2326,0.2326,0.3879,9.7033,shueisha.online/articles/-/258476,,at://did:plc:hz2vuqu4jqvzzdtmasnojxnb/app.bsky.feed.post/3mtzzaqkysc2u,at://did:plc:hz2vuqu4jqvzzdtmasnojxnb/app.bsky.feed.post/3mu2zrruwus2j,"〈「クラスメイトを盗撮したら500円」〉子どもを性加害者にする“大人の誘惑”…お小遣い稼ぎからハマる「デジタル性暴力」の引力 |
shueisha.online/articles/-/2...

斉藤　意図せぬ形で盗撮や児童ポルノ、性的ディープフェイクの消費者になってしまうわけですね。

永守　この構図は、Xだけでみられるわけではありません。たとえば、オンラインゲームの情報交換で頻繁に使われるトークアプリ「Discord」においても同様です。子どもが「ゲームの裏技を知りたい」と思って入ったDiscord内のコミュニティで、性的なコンテンツを扱うサイトへのリンクが貼られていたりするんです。","〈「クラスメイトを盗撮したら500円」〉子どもを性加害者にする“大人の誘惑”…お小遣い稼ぎからハマる「デジタル性暴力」の引力 | 2026.08.26
shueisha.online/articles/-/2...

""卒業アルバムや学校行事、SNSに投稿された何気ない写真から、AIで偽の性的画像を作る「性的ディープフェイク」が中高生、さらには小学生にまで広がっている。（中略）
ステルス性暴力”の実態と、消すことのできない「デジタルタトゥー」が子どもたちに残す深刻な傷とは。性加害者の治療に携わる斉藤章佳氏と、ネットパトロールボランティア団体「ひいらぎネット」代表の永守すみれ氏が語った""",2026-08-27T04:30:57.973000+00:00,2026-08-27T14:13:09.511000+00:00,9.7032,0.2326,0.3879,23,0,23,0,23,inf,A,1,9,1,0,0,
did:plc:jqxy4e3h3mv67jqplysbwsch,dbollero.bsky.social,publico.es/opinion/columnas/moreno-bonilla-oculta-lucha-narcotrafico.html?via=publico_es,3mu22dgicj22m,2026-08-27T04:50:21Z,"Anda #MorenoBonilla dando la turra con reactivar la unidad de élite de la Guardia Civil cuyo exjefe, precisamente, será juzgado este otoño por su compadreo con los clanes de la droga del Estrecho. 
Y hay más... te lo cuento hoy en @publico.es 
 www.publico.es/opinion/colu...",3mu2igxe44c2f,2026-08-27T09:02:52Z,"Con #Andalucía a la cabeza de toda España en asesinatos machistas, #MorenoBonilla no se ha acercado ni de lejos al nivel de turra que da con la unidad de élite contra el narcotráfico. Es evidente el por qué... Ya lo era antes de someterse a Vox. www.publico.es/opinion/colu...",4.21,0.2239,0.1475,0.1235,4.2086,publico.es/opinion/columnas/moreno-bonilla-oculta-lucha-narcotrafico.html?via=publico_es,,at://did:plc:jqxy4e3h3mv67jqplysbwsch/app.bsky.feed.post/3mu22dgicj22m,at://did:plc:jqxy4e3h3mv67jqplysbwsch/app.bsky.feed.post/3mu2igxe44c2f,"Anda #MorenoBonilla dando la turra con reactivar la unidad de élite de la Guardia Civil cuyo exjefe, precisamente, será juzgado este otoño por su compadreo con los clanes de la droga del Estrecho. 
Y hay más... te lo cuento hoy en @publico.es 
 www.publico.es/opinion/colu...","Con #Andalucía a la cabeza de toda España en asesinatos machistas, #MorenoBonilla no se ha acercado ni de lejos al nivel de turra que da con la unidad de élite contra el narcotráfico. Es evidente el por qué... Ya lo era antes de someterse a Vox. www.publico.es/opinion/colu...",2026-08-27T04:50:21.805000+00:00,2026-08-27T09:02:52.541000+00:00,4.2085,0.1475,0.1235,23,3,23,3,20,7.6667,A,1,30,3,2,0,
did:plc:ifsuximqaivczh4fie2opnuk,liberalcurrents.com,liberalcurrents.com/extremely-online-2-0,3mu26ruwqd72k,2026-08-27T06:10:01Z,"""'Extremely Online' is one of those terms that oozes 'know it when you see it' ineffability… Not everyone who uses social media, much less the Internet writ large, is Extremely Online, and not all of us who struggle with Onlineness do so in the same way."" www.liberalcurrents.com/extremely-on...",3mu2nqpccns2j,2026-08-27T10:37:48Z,"""To be Extremely Online is to believe that social media is showing you the entirety of the real world—or the only bits of the real world that matter… It is not merely about hanging out somewhere, but acting a certain way, developing a habitus of internet bullshit.""",4.46,0.2000,0.2131,0.1113,4.4631,liberalcurrents.com/extremely-online-2-0,,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu26ruwqd72k,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu2nqpccns2j,"""'Extremely Online' is one of those terms that oozes 'know it when you see it' ineffability… Not everyone who uses social media, much less the Internet writ large, is Extremely Online, and not all of us who struggle with Onlineness do so in the same way."" www.liberalcurrents.com/extremely-on...","""To be Extremely Online is to believe that social media is showing you the entirety of the real world—or the only bits of the real world that matter… It is not merely about hanging out somewhere, but acting a certain way, developing a habitus of internet bullshit.""",2026-08-27T06:10:01.663000+00:00,2026-08-27T10:37:48.340000+00:00,4.463,0.2131,0.1113,5,23,23,5,18,4.6,B,1,26,126,1,14,
did:plc:ifsuximqaivczh4fie2opnuk,liberalcurrents.com,liberalcurrents.com/extremely-online-2-0,3mu2nqpccns2j,2026-08-27T10:37:48Z,"""To be Extremely Online is to believe that social media is showing you the entirety of the real world—or the only bits of the real world that matter… It is not merely about hanging out somewhere, but acting a certain way, developing a habitus of internet bullshit.""",3mu2qcyh6cs2x,2026-08-27T11:23:49Z,"“The epistemic and financial elite who spend all day online, exposing themselves to a pinhole view of screeching madness, and then using their power to drag that madness offline and into the lives of people who barely use social media.” www.liberalcurrents.com/extremely-on...",0.77,0.1385,0.1311,0.0367,0.7669,liberalcurrents.com/extremely-online-2-0,,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu2nqpccns2j,at://did:plc:ifsuximqaivczh4fie2opnuk/app.bsky.feed.post/3mu2qcyh6cs2x,"""To be Extremely Online is to believe that social media is showing you the entirety of the real world—or the only bits of the real world that matter… It is not merely about hanging out somewhere, but acting a certain way, developing a habitus of internet bullshit.""","“The epistemic and financial elite who spend all day online, exposing themselves to a pinhole view of screeching madness, and then using their power to drag that madness offline and into the lives of people who barely use social media.” www.liberalcurrents.com/extremely-on...",2026-08-27T10:37:48.340000+00:00,2026-08-27T11:23:49.407000+00:00,0.767,0.1311,0.0367,23,6,23,6,17,3.8333,A,1,126,31,14,3,
did:plc:7vb3nqbwxsgxzvukuddgttrw,divyampersaud.com,chuffed.org/project/erc,3mu2p3iqgpi2u,2026-08-27T11:01:44Z,"ICYMI, a whole displacement camp was destroyed on Sunday and the families need help ASAP 🙏🏾 

I'm working with a volunteer on the ground, a very dear friend who was wounded in that bombing. The families need essential supplies for shelter, water, and hygiene. chuffed.org/project/erc",3mu2uszrsek2z,2026-08-27T12:44:22Z,chuffed.org/project/erc,1.71,0.1026,0.1026,0.1559,1.7106,chuffed.org/project/erc,,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mu2p3iqgpi2u,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mu2uszrsek2z,"ICYMI, a whole displacement camp was destroyed on Sunday and the families need help ASAP 🙏🏾 

I'm working with a volunteer on the ground, a very dear friend who was wounded in that bombing. The families need essential supplies for shelter, water, and hygiene. chuffed.org/project/erc",chuffed.org/project/erc,2026-08-27T11:01:44.294000+00:00,2026-08-27T12:44:22.643000+00:00,1.7107,0.1026,0.1559,22,4,22,4,18,5.5,A,1,21,4,8,0,
did:plc:7ysc3kheoofy6xt24qokd4y7,vostok.estudiovostok.com.br,rifa.digital/s/equipamentos-para-o-vostok/rhixF2Y0xDi,3mtzqssgkp223,2026-08-27T02:00:00Z,"Ajudem a navinha a comprar novos equipamentos e ampliar a linha de produtos! Ao comprar um número na rifa, você concorre a uma arte personalizada e a cadernos da loja
Detalhe: o peixe @137magdiel.bsky.social cedeu os royalties para incluir os cadernos dele e apoiar essa campanha 😍
Obrigada pexe",3mu2tq6pq722r,2026-08-27T12:24:53Z,"Com 20 reais, você ajuda a navinha a comprar novas ferramentas pra ampliar a linha de produtos e concorre a premios:",10.41,0.2041,0.2174,0.4421,10.4147,rifa.digital/s/equipamentos-para-o-vostok/rhixF2Y0xDi,,at://did:plc:7ysc3kheoofy6xt24qokd4y7/app.bsky.feed.post/3mtzqssgkp223,at://did:plc:7ysc3kheoofy6xt24qokd4y7/app.bsky.feed.post/3mu2tq6pq722r,"Ajudem a navinha a comprar novos equipamentos e ampliar a linha de produtos! Ao comprar um número na rifa, você concorre a uma arte personalizada e a cadernos da loja
Detalhe: o peixe @137magdiel.bsky.social cedeu os royalties para incluir os cadernos dele e apoiar essa campanha 😍
Obrigada pexe","Com 20 reais, você ajuda a navinha a comprar novas ferramentas pra ampliar a linha de produtos e concorre a premios:",2026-08-27T02:00:00.227000+00:00,2026-08-27T12:24:53.409000+00:00,10.4148,0.2174,0.4421,4,19,19,4,15,4.75,B,1,5,23,0,5,
